Frames,Timestamp,F1_score,F2_score,F_diff,pid,qid
0,1.1912680864334106,691.4557379532556,1487.8959376699245,796.4401997166689,40,13
1,1.2013201489042273,700.8301311592161,1438.6667230988824,737.8365919396663,40,13
2,1.211372211375044,749.2124284566501,1387.9916686106567,638.7792401540066,40,13
3,1.2214242738458607,602.7026953346108,1354.6073381962744,751.9046428616637,40,13
4,1.2314763363166774,1102.0709841308926,1952.0655367786844,849.9945526477918,40,13
5,1.241528398787494,1078.1573236131735,1875.6401294492875,797.482805836114,40,13
6,1.2515804612583108,1425.6445011169926,1919.7545908925463,494.11008977555366,40,13
7,1.2616325237291277,1376.3084570110136,3015.2982877670834,1638.9898307560698,40,13
8,1.2716845861999444,1343.8124480930226,2863.6721278253976,1519.859679732375,40,13
9,1.281736648670761,1313.4520573804268,2753.47840117343,1440.0263437930032,40,13
10,1.2917887111415778,694.0481797804733,1290.117822013668,596.0696422331947,40,13
11,1.3018407736123945,767.9264266680373,1289.3748730229836,521.4484463549463,40,13
12,1.3118928360832112,752.3883642227647,1246.5137066397383,494.1253424169736,40,13
13,1.3219448985540279,841.1290711628635,1264.2876692354932,423.15859807262973,40,13
14,1.3319969610248446,845.0873452604956,1255.9809056938614,410.8935604333658,40,13
15,1.3420490234956612,827.8357909925786,1227.764387738384,399.9285967458053,40,13
16,1.352101085966478,790.3090901570189,1223.3845038744273,433.0754137174084,40,13
17,1.3621531484372946,790.5758081240054,1214.1186014690504,423.54279334504497,40,13
18,1.3722052109081115,722.5664886411591,1200.2827722773327,477.71628363617356,40,13
19,1.3822572733789282,644.4194079671217,1178.2979012711146,533.8784933039929,40,13
20,1.392309335849745,618.9732313430861,1179.7807661023662,560.8075347592801,40,13
21,1.4023613983205616,649.396040888061,1171.630724130706,522.2346832426451,40,13
22,1.4124134607913783,688.2812288498261,1188.504295624628,500.22306677480185,40,13
23,1.422465523262195,646.7779084692826,1187.9136860077704,541.1357775384878,40,13
24,1.4325175857330117,631.2681773131239,1215.4741846141603,584.2060073010364,40,13
25,1.4425696482038284,632.7831477838317,1201.723888125076,568.9407403412442,40,13
26,1.452621710674645,684.1067151876274,1235.5434471248284,551.436731937201,40,13
27,1.4626737731454618,693.8041447682408,1247.5532139394418,553.749069171201,40,13
28,1.4727258356162785,698.6953139046799,1234.8603631039434,536.1650491992635,40,13
29,1.4827778980870954,707.6308602220555,1235.3790385952059,527.7481783731504,40,13
30,1.4928299605579118,616.2388718349791,1219.3361325855428,603.0972607505637,40,13
31,1.5028820230287288,599.1602456177676,1201.2061476206477,602.0459020028801,40,13
32,1.5129340854995454,514.06734422952,1174.218097903329,660.1507536738089,40,13
33,1.5229861479703621,489.72040844594744,1166.6863711390313,676.9659626930838,40,13
34,1.5330382104411788,511.29734834345834,1143.8065360193832,632.5091876759249,40,13
35,1.5430902729119955,501.0500097277303,1126.5435609966064,625.4935512688761,40,13
36,1.5531423353828122,500.33653057535355,1102.7374227337007,602.4008921583471,40,13
37,1.563194397853629,531.8908569321065,1086.2338660364994,554.3430091043929,40,13
38,1.5732464603244456,498.1811662046826,1056.642378734414,558.4612125297315,40,13
39,1.5832985227952623,493.2170218726423,1040.5437897628597,547.3267678902173,40,13
40,1.5933505852660792,471.1128883917762,1027.5137060507848,556.4008176590086,40,13
41,1.6034026477368957,469.24612141242204,1012.6215097398409,543.3753883274189,40,13
42,1.6134547102077126,468.13244627833296,988.2472267786846,520.1147805003517,40,13
43,1.6235067726785293,434.0564969020509,967.5361982948256,533.4797013927746,40,13
44,1.633558835149346,396.3537767888651,988.6505107894204,592.2967340005553,40,13
45,1.6436108976201627,352.25698976196753,989.2613536999896,637.0043639380222,40,13
46,1.6536629600909794,294.7680279920424,974.4009977122316,679.6329697201893,40,13
47,1.663715022561796,227.67458168572202,1003.866541549184,776.191959863462,40,13
48,1.6737670850326127,185.98611543584673,1041.3838844978875,855.3977690620408,40,13
49,1.6838191475034294,182.6605985796284,1120.1871019770308,937.5265033974024,40,13
50,1.6938712099742461,151.79470159894956,1022.4973136636424,870.7026120646929,40,13
51,1.703923272445063,329.4886107806925,1522.131775506916,1192.6431647262234,40,13
52,1.7139753349158795,1013.9930358373185,3163.6806033002404,2149.687567462922,40,13
53,1.7240273973866964,1027.3600535156418,2995.354876485562,1967.99482296992,40,13
54,1.7340794598575129,950.1469243673374,2622.265993906805,1672.1190695394675,40,13
55,1.7441315223283298,1044.8121573506955,3033.5588817136086,1988.746724362913,40,13
56,1.7541835847991465,1049.9095512838987,2895.6288457148944,1845.7192944309957,40,13
57,1.7642356472699632,1018.4870111010395,2634.1157232254236,1615.628712124384,40,13
58,1.7742877097407799,1065.5057895781065,2792.452443225139,1726.9466536470327,40,13
59,1.7843397722115966,1055.3659909501364,2784.856535757,1729.4905448068637,40,13
60,1.7943918346824133,1080.3690487963513,3251.0049723011616,2170.6359235048103,40,13
61,1.80444389715323,1096.3035189413908,2703.984133779027,1607.6806148376363,40,13
62,1.8144959596240469,1103.713456510441,2764.607139175963,1660.893682665522,40,13
63,1.8245480220948633,1126.101092318494,2567.6613703260014,1441.5602780075073,40,13
64,1.8346000845656802,1138.0398510708524,2497.2194894587115,1359.179638387859,40,13
65,1.8446521470364967,1101.16353805364,2539.5416100171683,1438.3780719635283,40,13
66,1.8547042095073136,1126.8630904124652,2346.6045300339706,1219.7414396215054,40,13
67,1.8647562719781303,1164.3776054870118,2315.874834415879,1151.4972289288671,40,13
68,1.874808334448947,1085.9098295736312,2084.4428182751776,998.5329887015464,40,13
69,1.8848603969197637,928.8313362220994,2154.969184454676,1226.1378482325767,40,13
70,1.8949124593905804,395.4904307153239,1670.5967466075697,1275.1063158922457,40,13
71,1.904964521861397,1465.1283381510682,2571.426964154149,1106.298626003081,40,13
72,1.9150165843322138,1101.9161937994518,2449.2786988656653,1347.3625050662135,40,13
73,1.9250686468030307,1413.668070286065,2911.145863122747,1497.477792836682,40,13
74,1.9351207092738472,1549.4588818302302,2897.921963221496,1348.4630813912656,40,13
75,1.945172771744664,1296.3360258158382,2005.0862330875527,708.7502072717145,40,13
76,1.9552248342154805,1071.9987338658673,2115.2135345725833,1043.214800706716,40,13
77,1.9652768966862975,1655.664850251198,2854.2358878073132,1198.5710375561152,40,13
78,1.975328959157114,1041.5859011583216,1791.8625460414823,750.2766448831608,40,13
79,1.9853810216279308,268.247880813733,1473.1819428917754,1204.9340620780424,40,13
80,1.9954330840987475,1508.2986151855448,2223.190826219097,714.892211033552,40,13
81,2.0054851465695642,562.7455941774749,1549.2613905909632,986.5157964134883,40,13
82,2.0155372090403807,1380.9830632193346,2764.5474388198136,1383.564375600479,40,13
83,2.0255892715111976,399.76388014320173,1497.8466730354442,1098.0827928922424,40,13
84,2.0356413339820145,264.0549693373524,1631.402256645953,1367.3472873086007,40,13
85,2.045693396452831,1514.2713075993745,2853.2064310292803,1338.9351234299058,40,13
86,2.055745458923648,302.0364984918491,1471.0779638698896,1169.0414653780404,40,13
87,2.0657975213944644,1316.8376156442857,2817.343657130988,1500.5060414867023,40,13
88,2.0758495838652813,995.0199609405925,2233.546458706067,1238.5264977654745,40,13
89,2.0859016463360978,497.00851888567445,1492.1427258299466,995.1342069442721,40,13
90,2.0959537088069147,332.29515070561564,1304.624562395835,972.3294116902193,40,13
91,2.106005771277731,315.2097622439581,1530.3188215732118,1215.1090593292538,40,13
92,2.116057833748548,295.19925218048814,1545.0317521266227,1249.8324999461345,40,13
93,2.126109896219365,1378.8436583364141,2533.779311778416,1154.9356534420017,40,13
94,2.1361619586901814,358.30260446193506,1618.206981063965,1259.90437660203,40,13
95,2.146214021160998,789.6997812032376,2044.7893925610392,1255.0896113578015,40,13
96,2.156266083631815,229.8946320803642,1664.4082735191994,1434.5136414388353,40,13
97,2.1663181461026317,155.04494425785242,1596.3690223803846,1441.3240781225322,40,13
98,2.176370208573448,367.78259374245806,1492.94771365727,1125.1651199148118,40,13
99,2.186422271044265,366.0036113058039,1758.5856793676903,1392.5820680618865,40,13
100,2.1964743335150816,400.66931309764584,1836.9940394157568,1436.324726318111,40,13
101,2.2065263959858985,240.90863233765586,1906.7187180927244,1665.8100857550685,40,13
102,2.2165784584567154,892.1360736330456,2150.2152918447255,1258.0792182116797,40,13
103,2.226630520927532,1001.8595423998722,1992.0543141639394,990.1947717640671,40,13
104,2.2366825833983484,1014.2480576631853,1631.321872374596,617.0738147114108,40,13
105,2.2467346458691653,1608.7638388283092,2876.8860141808127,1268.1221753525035,40,13
